Year_Team,OeFGper,OTOVper,ORBper,OFT_FGA,DeFGper,DTOVper,DRBper,DFT_FGA,W
2018 Houston Rockets,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171,65
2018 Toronto Raptors,0.539,12.1,23,0.198,0.501,13,77.7,0.212,59
2018 Golden State Warriors,0.569,14.1,21,0.195,0.504,12.6,76.3,0.186,58
2018 Utah Jazz,0.527,13.7,21.5,0.202,0.506,14,79.8,0.19,48
2018 Philadelphia 76ers,0.535,14.6,25.3,0.198,0.492,12.6,78.6,0.218,52
2018 Oklahoma City Thunder,0.514,12.4,27.7,0.197,0.525,14.7,77.4,0.193,48
2018 Boston Celtics,0.518,13,21.5,0.188,0.495,13,78.4,0.191,55
2018 San Antonio Spurs,0.507,12.2,23.7,0.189,0.507,13.2,78.6,0.17,47
2018 Portland Trail Blazers,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,49
2018 Minnesota Timberwolves,0.523,11.4,24.4,0.225,0.539,13.9,76.4,0.189,47
2018 Denver Nuggets,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.173,46
2018 New Orleans Pelicans,0.541,13.3,20,0.183,0.513,12.5,76.7,0.175,48
2018 Indiana Pacers,0.525,12.3,22.7,0.173,0.527,14.2,76.2,0.174,48
2018 Cleveland Cavaliers,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,50
2018 Washington Wizards,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,43
2018 Los Angeles Clippers,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,42
2018 Miami Heat,0.52,13.3,21.5,0.173,0.507,13.1,79,0.215,44
2018 Charlotte Hornets,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,36
2018 Detroit Pistons,0.512,12.3,22.7,0.169,0.524,13.7,78.5,0.172,39
2018 Milwaukee Bucks,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,44
2018 Los Angeles Lakers,0.517,13.8,23.6,0.188,0.514,12.5,77.7,0.19,35
2018 Dallas Mavericks,0.513,11.6,18,0.166,0.532,12.9,78.9,0.193,24
2018 New York Knicks,0.51,13.3,24.1,0.17,0.522,12.2,76.7,0.208,29
2018 Brooklyn Nets,0.514,13.6,21,0.201,0.517,11,77,0.201,28
2018 Orlando Magic,0.512,13.3,20,0.18,0.525,12.8,75.6,0.187,25
2018 Atlanta Hawks,0.512,14.1,21,0.185,0.536,13.6,76.2,0.183,24
2018 Memphis Grizzlies,0.5,14,22.4,0.201,0.529,13.8,76.5,0.256,22
2018 Sacramento Kings,0.502,12.8,21.5,0.143,0.542,13.5,77.6,0.199,27
2018 Chicago Bulls,0.497,12.6,20.6,0.164,0.542,12.4,80.6,0.184,27
2018 Phoenix Suns,0.495,13.9,22.5,0.203,0.533,11.9,76.5,0.212,21
2017 Golden State Warriors,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,67
2017 San Antonio Spurs,0.524,12.6,24,0.21,0.492,13.5,77.6,0.192,61
2017 Houston Rockets,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,55
2017 Los Angeles Clippers,0.537,12,21.5,0.233,0.506,12.1,76.9,0.211,51
2017 Utah Jazz,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,51
2017 Toronto Raptors,0.517,11.8,25,0.233,0.507,13.5,76.3,0.223,51
2017 Cleveland Cavaliers,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.174,51
2017 Boston Celtics,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,53
2017 Washington Wizards,0.528,12.8,24.1,0.199,0.524,13.8,75.5,0.213,49
2017 Oklahoma City Thunder,0.5,13.2,27.9,0.22,0.511,12.5,79,0.218,47
2017 Memphis Grizzlies,0.491,12.1,24.8,0.219,0.506,13.6,77.5,0.256,43
2017 Miami Heat,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,41
2017 Denver Nuggets,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.194,40
2017 Chicago Bulls,0.487,12.3,27,0.206,0.507,12.4,76.8,0.169,41
2017 Charlotte Hornets,0.501,10.7,19.9,0.227,0.523,12.1,79.6,0.164,36
2017 Portland Trail Blazers,0.52,12.5,23,0.214,0.508,11.6,76.8,0.241,41
2017 Milwaukee Bucks,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,42
2017 Indiana Pacers,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225,42
2017 Minnesota Timberwolves,0.511,12.9,27.2,0.229,0.535,13.2,75.9,0.212,31
2017 Atlanta Hawks,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,43
2017 Detroit Pistons,0.492,10.9,24.1,0.157,0.516,12.1,81.2,0.197,37
2017 New Orleans Pelicans,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177,34
2017 Dallas Mavericks,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,33
2017 Sacramento Kings,0.516,13.7,21,0.22,0.528,12.9,76.3,0.227,32
2017 New York Knicks,0.496,12.4,26.6,0.188,0.511,11.7,74.1,0.214,31
2017 Phoenix Suns,0.493,13.4,26,0.231,0.525,13.1,76.4,0.264,24
2017 Philadelphia 76ers,0.501,14.9,22.4,0.199,0.512,13.5,75.3,0.234,28
2017 Los Angeles Lakers,0.501,13.5,25,0.195,0.542,13,75.8,0.213,26
2017 Orlando Magic,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201,29
2017 Brooklyn Nets,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212,20
2016 Golden State Warriors,0.563,13.5,23.5,0.191,0.479,12.6,76,0.208,73
2016 San Antonio Spurs,0.526,12.4,23,0.197,0.477,14.1,79.1,0.182,67
2016 Oklahoma City Thunder,0.524,14,31.1,0.228,0.484,11.7,76,0.205,55
2016 Cleveland Cavaliers,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,57
2016 Los Angeles Clippers,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,53
2016 Toronto Raptors,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,56
2016 Atlanta Hawks,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,48
2016 Boston Celtics,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,48
2016 Charlotte Hornets,0.502,11.7,20,0.222,0.496,12.5,79.8,0.191,48
2016 Utah Jazz,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,40
2016 Indiana Pacers,0.497,13.5,23.4,0.205,0.489,14.3,76,0.205,45
2016 Miami Heat,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,48
2016 Portland Trail Blazers,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,44
2016 Detroit Pistons,0.491,12.2,27,0.197,0.504,12.5,79.3,0.196,44
2016 Houston Rockets,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.219,41
2016 Dallas Mavericks,0.502,12,20.6,0.211,0.504,12.8,76.2,0.198,42
2016 Washington Wizards,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,41
2016 Chicago Bulls,0.487,12.6,24.5,0.189,0.485,10.7,74.9,0.182,42
2016 Orlando Magic,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,35
2016 Memphis Grizzlies,0.477,12.3,25.3,0.231,0.518,15.2,75.1,0.251,42
2016 Sacramento Kings,0.51,14.2,23.9,0.214,0.521,14,74.9,0.202,33
2016 New York Knicks,0.483,12.6,23.7,0.205,0.487,10.5,75.8,0.204,32
2016 Denver Nuggets,0.489,13.2,25.8,0.216,0.515,12.6,77.3,0.216,33
2016 Minnesota Timberwolves,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2,29
